,Unnamed: 0,Star_name,Distance,Mass,Radius,name,radius,mass,distance
0,0,Sun,0.000015813,1,1,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99
1,1,Sirius,0008.6,2.1,1.71,2MASS J00040288-6410358,192.0,19.0,1.63
2,3,Alpha Centauri,0004.4,1.1,1.2,2MASS J00242463-0158201,37.7,79.0,1.09
3,5,Vega,0025,2.2,2.7,2MASS J00274197+0503417,236.0,31.0,1.44
4,7,Rigel,0860,23,78.9,2MASSW J0030300-145033,87.2,54.0,0.98
5,8,Procyon,0011.4,1.5,1.9,2MASS J00332386-1521309 [de],131.0,29.0,1.43
6,9,Betelgeuse,0640[1],20,950,2MASS J00345157+0523050,31.0,42.0,0.94
7,10,Achernar,0144,6.7,9.3,2MASS 0036+1821,28.6,42.0,0.94
8,11,Hadar,0390,10.5,8.6,2MASSW J0045214+163445,57.0,23.0,1.62
9,12,Altair,0017,1.8,1.8,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3
10,13,Acrux,0320,18,8.9,2MASS J00501994-3322402 [de],34.0,40.0,0.94
11,15,Antares,0600,12,680,2MASS J00584253-0651239 [de],96.0,29.0,1.43
12,17,Pollux,0034,1.9,8.8,2MASSI J0103320+193536,70.0,52.0,0.98
13,18,Fomalhaut,0025,1.9,1.8,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98
14,19,Deneb,"2,600",19,203,2MASSI J0117474-340325 [de],163.0,20.0,1.62
15,20,Mimosa,0350,16,8.4,2MASS J01415823-4633574 [de],130.0,20.0,1.61
16,21,Regulus,0077,3.8,3.1,SDSS J015141.69+124429.6,70.0,47.0,0.97
17,25,Gacrux,0088,1.5,84,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97
18,26,Bellatrix,0240,8.6,5.8,2MASS J02103857-3015313,101.0,15.0,1.53
19,27,Elnath,0130,5.0,4.2,2MASS J02340093-6442068,155.0,20.0,1.62
20,28,Miaplacidus,0110,3.5,6.8,2MASS J02411151-0326587 [de],152.0,27.0,1.41
21,29,Alnilam,"2,000",32,42,2MASS J02431371−2453298,35.0,33.0,0.99
22,30,Gamma Velorum,"01,100",9.0,6,LP 771-21,53.0,78.0,1.08
23,32,Alioth,0081,2.9,4.2,2MASS J02535980+3206373,184.0,65.0,1.9
24,33,Alnitak,01050,33,20,WISE J0254+0223,24.0,65.0,1.9
25,34,Dubhe,0120,4.25,30,DEN 0255-4700,16.2,80.0,0.97
26,35,Mirfak,0590,8.5,68,2MASS J03185403-3421292 [de],45.0,49.0,0.97
27,36,Wezen,"1,600",17,200,2MASS J03205965+1854233,47.0,88.0,1.15
28,37,Sargas,0270,5.7,26,2MASS J03231002-4631237,192.0,23.0,1.66
29,38,Kaus Australis,0140,3.5,6.8,SDSS J032553.17+042540.1,59.0,45.0,0.95
30,39,Avior,0630,9.0,130,2MASS J03264225-2102057 [de],80.0,18.0,1.3
31,40,Alkaid,0104,6.1,3.4,2MASS J03284265+2302051 [de],98.0,54.0,0.98
32,41,Menkalinan,081,2.39,2.77,2MASS J03341218-4953322,27.0,73.0,1.04
33,42,Atria,0390,7,92,LP 944-20,20.9,73.0,1.43
34,43,Alhena,0109,2.8,3.3,2MASP J0345432+254023,88.0,74.0,1.05
35,44,Peacock,0180,5.9,4.8,Teide 1,380.0,55.0,3.78
36,45,Alsephina[2],0080,2.4,2.9,2MASS J03510004-0052452,48.0,102.0,1.27
37,46,Mirzam,0500,13.5,10,2MASS J03552337+1133437,29.8,20.0,1.32
38,48,Alphard,0180,3.0,50,2MASS J04151954−0935066,18.6,30.0,0.95
39,50,Scheat,0196,2.1,95,2MASS J04285096-2253227 [de],85.0,80.0,1.09
40,51,Almaaz,0653,15,140,2MASS J04351612-1606574,34.0,100.0,1.26
41,52,Rasalgethi,0360,2.8,280,2MASS J04362788-4114465,142.0,39.0,1.97
42,53,Tau Ceti,011.9,0.783,0.893,2MASS J04390101-2353083 [de],29.5,48.0,0.97
43,55,Ran,010.48,0.82,0.74,2MASS J04433764+0002040,82.0,22.0,1.78
44,56,V382 Carinae,"08,900",20,485,2MASS J04455387-3048204 [de],42.0,64.0,1.0
